Time,Position (x)
85.1667,1.76539
85.1833,1.76539
85.2,1.76539
85.2167,1.76539
85.2333,1.76539
85.25,1.76539
85.2667,1.76539
85.2833,1.76539
85.3,1.76539
85.3167,1.76539
85.3333,1.76539
85.35,1.76539
85.3667,1.76539
85.3833,1.76539
85.4,1.76539
85.4167,1.76539
85.4333,1.76539
85.45,1.76539
85.4667,1.76539
85.4833,1.76539
85.5,1.76539
85.5167,1.76539
85.5333,1.76539
85.55,1.76539
85.5667,1.76539
85.5833,1.76539
85.6,1.76539
85.6167,1.76539
85.6333,1.76539
85.65,1.76539
85.6667,1.76539
85.6833,1.76539
85.7,1.76539
85.7167,1.76539
85.7333,1.76539
85.75,1.76539
85.7667,1.76539
85.7833,1.76539
85.8,1.76539
85.8167,1.76539
85.8333,1.76539
85.85,1.76539
85.8667,1.76539
85.8833,1.76539
85.9,1.76539
85.9167,1.76539
85.9333,1.76539
85.95,1.76539
85.9667,1.76539
85.9833,1.76539
86,1.76539
86.0167,1.76539
86.0333,1.76539
86.05,1.76539
86.0667,1.76539
86.0833,1.76539
86.1,1.76539
86.1167,1.76539
86.1333,1.76539
86.15,1.76539
86.1667,1.76539
86.1833,1.76539
86.2,1.76539
86.2167,1.76539
86.2333,1.76539
86.25,1.76539
86.2667,1.76539
86.2833,1.76539
86.3,1.76539
86.3167,1.76539
86.3333,1.76539
86.35,1.76539
86.3667,1.76539
86.3833,1.76539
86.4,1.76539
86.4167,1.76539
86.4333,1.76539
86.45,1.76539
86.4667,1.76539
86.4833,1.76539
86.5,1.76539
86.5167,1.76539
86.5333,1.76539
86.55,1.76539
86.5667,1.76539
86.5833,1.76539
86.6,1.76539
86.6167,1.76539
86.6333,1.76539
86.65,1.76539
86.6667,1.76539
86.6833,1.76539
86.7,1.76539
86.7167,1.76539
86.7333,1.76539
86.75,1.76539
86.7667,1.76539
86.7833,1.76539
86.8,1.76539
86.8167,1.76539
86.8333,1.76539
86.85,1.76539
86.8667,1.76539
86.8833,1.76539
86.9,1.76539
86.9167,1.76539
86.9333,1.76539
86.95,1.76539
86.9667,1.76539
86.9833,1.76539
87,1.76539
87.0167,1.76539
87.0333,1.76539
87.05,1.76539
87.0667,1.76539
87.0833,1.76539
87.1,1.76539
87.1167,1.76539
87.1333,1.76539
87.15,1.76539
87.1667,1.76539
87.1833,1.76539
87.2,1.76539
87.2167,1.76539
87.2333,1.76539
87.25,1.76539
87.2667,1.76539
87.2833,1.76539
87.3,1.76539
87.3167,1.76539
87.3333,1.76539
87.35,1.76539
87.3667,1.76539
87.3833,1.76539
87.4,1.76539
87.4167,1.76539
87.4333,1.76539
87.45,1.76539
87.4667,1.76539
87.4833,1.76539
87.5,1.76539
87.5167,1.76539
87.5333,1.76539
87.55,1.76539
87.5667,1.76539
87.5833,1.76539
87.6,1.76539
87.6167,1.76539
87.6333,1.76539
87.65,1.76539
87.6667,1.76539
87.6833,1.76539
87.7,1.76539
87.7167,1.76539
87.7333,1.76539
87.75,1.76539
87.7667,1.76539
87.7833,1.76539
87.8,1.76539
87.8167,1.76539
87.8333,1.76539
87.85,1.76539
87.8667,1.76539
87.8833,1.76539
87.9,1.76539
87.9167,1.76539
87.9333,1.76539
87.95,1.76539
87.9667,1.76539
87.9833,1.76539
88,1.76539
88.0167,1.76539
88.0333,1.76539
88.05,1.76539
88.0667,1.76539
88.0833,1.76539
88.1,1.76539
88.1167,1.76539
88.1333,1.76539
88.15,1.76539
88.1667,1.76539
88.1833,1.76539
88.2,1.76539
88.2167,1.76539
88.2333,1.76539
88.25,1.76539
88.2667,1.76539
88.2833,1.76539
88.3,1.76539
88.3167,1.76539
88.3333,1.76539
88.35,1.76539
88.3667,1.76539
88.3833,1.76539
88.4,1.76539
88.4167,1.76539
88.4333,1.76539
88.45,1.76539
88.4667,1.76539
88.4833,1.76539
88.5,1.76539
88.5167,1.76539
88.5333,1.76539
88.55,1.76539
88.5667,1.76539
88.5833,1.76539
88.6,1.76539
88.6167,1.76539
88.6333,1.76539
88.65,1.76539
88.6667,1.76539
88.6833,1.76539
88.7,1.76539
88.7167,1.76539
88.7333,1.76539
88.75,1.76539
88.7667,1.76539
88.7833,1.76539
88.8,1.76539
88.8167,1.76539
88.8333,1.76539
88.85,1.76539
88.8667,1.76539
88.8833,1.76539
88.9,1.76539
88.9167,1.76539
88.9333,1.76539
88.95,1.76539
88.9667,1.76539
88.9833,1.76539
89,1.76539
89.0167,1.76539
89.0333,1.76539
89.05,1.76539
89.0667,1.76539
89.0833,1.76539
89.1,1.76539
89.1167,1.76539
89.1333,1.76539
89.15,1.76539
89.1667,1.76539
89.1833,1.76539
89.2,1.76539
89.2167,1.76539
89.2333,1.76539
89.25,1.76539
89.2667,1.76539
89.2833,1.76539
89.3,1.76539
89.3167,1.76539
89.3333,1.76539
89.35,1.76539
89.3667,1.76539
89.3833,1.76539
89.4,1.76539
89.4167,1.76539
89.4333,1.76539
89.45,1.76539
89.4667,1.76539
89.4833,1.76539
89.5,1.76539
89.5167,1.76539
89.5333,1.76539
89.55,1.76539
89.5667,1.76539
89.5833,1.76539
89.6,1.76539
89.6167,1.76539
89.6333,1.76539
89.65,1.76539
89.6667,1.76539
89.6833,1.76539
89.7,1.76539
89.7167,1.76539
89.7333,1.76539
89.75,1.76539
89.7667,1.76539
89.7833,1.76539
89.8,1.76539
89.8167,1.76539
89.8333,1.76539
89.85,1.76539
89.8667,1.76539
89.8833,1.76539
89.9,1.76539
89.9167,1.76539
89.9333,1.76539
89.95,1.76539
89.9667,1.76539
89.9833,1.76539
90,1.76539
90.0167,1.76539
90.0333,1.76539
90.05,1.76539
90.0667,1.76539
90.0833,1.76539
90.1,1.76539
90.1167,1.76539
90.1333,1.76539
90.15,1.76539
90.1667,1.76539
90.1833,1.76539
90.2,1.76539
90.2167,1.76539
90.2333,1.76539
90.25,1.76539
90.2667,1.76539
90.2833,1.76539
90.3,1.76539
90.3167,1.76539
90.3333,1.76539
90.35,1.76539
90.3667,1.76539
90.3833,1.76539
90.4,1.76539
90.4167,1.76539
90.4333,1.76539
90.45,1.76539
90.4667,1.76539
90.4833,1.76539
90.5,1.76539
90.5167,1.76539
90.5333,1.76539
90.55,1.76539
90.5667,1.76539
90.5833,1.76539
90.6,1.76539
90.6167,1.76539
