Time,Potential gravitational energy
292.75,27265.9
292.767,27573.9
292.783,27879.2
292.8,28181.8
292.817,28481.8
292.833,28779
292.85,29073.6
292.867,29365.5
292.883,29654.7
292.9,29941.2
292.917,30225.1
292.933,30506.2
292.95,30784.7
292.967,31060.5
292.983,31333.6
293,31604
293.017,31871.8
293.033,32136.9
293.05,32399.3
293.067,32659
293.083,32916
293.1,33170.3
293.117,33422
293.133,33671
293.15,33917.3
293.167,34160.9
293.183,34401.8
293.2,34640.1
293.217,34875.6
293.233,35108.5
293.25,35338.7
293.267,35566.3
293.283,35791.1
293.3,36013.3
293.317,36232.7
293.333,36449.5
293.35,36663.6
293.367,36875.1
293.383,37083.8
293.4,37289.9
293.417,37493.3
293.433,37694
293.45,37892
293.467,38087.4
293.483,38280
293.5,38470
293.517,38657.3
293.533,38841.9
293.55,39023.8
293.567,39203.1
293.583,39379.6
293.6,39553.5
293.617,39724.7
293.633,39893.3
293.65,40059.1
293.667,40222.3
293.683,40382.7
293.7,40540.5
293.717,40695.6
293.733,40848.1
293.75,40997.8
293.767,41144.9
293.783,41289.3
293.8,41431
293.817,41570
293.833,41706.3
293.85,41840
293.867,41970.9
293.883,42099.2
293.9,42224.8
293.917,42347.8
293.933,42468
293.95,42585.6
293.967,42700.5
293.983,42812.7
294,42922.2
294.017,43029
294.033,43133.2
294.05,43234.6
294.067,43333.4
294.083,43429.6
294.1,43523
294.117,43613.7
294.133,43701.8
294.15,43787.2
294.167,43869.9
294.183,43949.9
294.2,44027.2
294.217,44101.9
294.233,44173.8
294.25,44243.1
294.267,44309.7
294.283,44373.7
294.3,44434.9
294.317,44493.5
294.333,44549.4
294.35,44602.6
294.367,44653.1
294.383,44700.9
294.4,44746.1
294.417,44788.5
294.433,44828.3
294.45,44865.4
294.467,44899.8
294.483,44931.6
294.5,44960.6
294.517,44987
294.533,45010.7
294.55,45031.7
294.567,45050.1
294.583,45065.7
294.6,45078.7
294.617,45089
294.633,45096.6
294.65,45101.5
294.667,45103.7
294.683,45103.3
294.7,45100.2
294.717,45094.4
294.733,45085.9
294.75,45074.7
294.767,45060.9
294.783,45044.3
294.8,45025.1
294.817,45003.2
294.833,44978.6
294.85,44951.4
294.867,44921.4
294.883,44888.8
294.9,44853.5
294.917,44815.5
294.933,44774.8
294.95,44731.5
294.967,44685.5
294.983,44636.7
295,44585.3
295.017,44531.3
295.033,44474.5
295.05,44415.1
295.067,44352.9
295.083,44288.1
295.1,44220.6
295.117,44150.5
295.133,44077.6
295.15,44002.1
295.167,43923.9
295.183,43843
295.2,43759.4
295.217,43673.1
295.233,43584.2
295.25,43492.5
295.267,43398.2
295.283,43301.2
295.3,43201.6
295.317,43099.2
295.333,42994.2
295.35,42886.5
295.367,42776.1
295.383,42663
295.4,42547.2
295.417,42428.8
295.433,42307.6
295.45,42183.8
295.467,42057.3
295.483,41928.1
295.5,41796.3
295.517,41661.8
295.533,41524.5
295.55,41384.6
295.567,41242
295.583,41096.8
295.6,40948.8
295.617,40798.2
295.633,40644.9
295.65,40488.9
295.667,40330.2
295.683,40168.9
295.7,40004.8
295.717,39838.1
295.733,39668.7
295.75,39496.6
295.767,39321.9
295.783,39144.4
295.8,38964.3
295.817,38781.5
295.833,38596
295.85,38407.8
295.867,38216.9
295.883,38023.4
295.9,37827.2
295.917,37628.3
295.933,37426.7
295.95,37222.4
295.967,37015.5
295.983,36805.8
296,36593.5
296.017,36378.5
296.033,36160.8
296.05,35940.5
296.067,35717.4
296.083,35491.7
296.1,35263.3
296.117,35032.2
296.133,34798.4
296.15,34562
296.167,34322.8
296.183,34081
296.2,33836.5
296.217,33589.4
296.233,33339.5
296.25,33086.9
296.267,32831.7
296.283,32573.8
296.3,32313.2
296.317,32050
296.333,31784
296.35,31515.4
296.367,31244.1
296.383,30970.1
296.4,30693.4
296.417,30414
296.433,30132
296.45,29847.2
