Time,Linear kinetic energy,Angular kinetic energy,Kinetic energy (sum)
279.4,6437.9,3219.08,9656.98
279.417,6525.05,3262.64,9787.68
279.433,6612.76,3306.5,9919.26
279.45,6701.03,3350.66,10051.7
279.467,6789.92,3395.11,10185
279.483,6879.32,3439.93,10319.2
279.5,6969.46,3484.87,10454.3
279.517,7060.12,3530.19,10590.3
279.533,7151.22,3575.93,10727.2
279.55,7243.14,3621.74,10864.9
279.567,7335.56,3667.94,11003.5
279.583,7428.56,3714.42,11143
279.6,7522.14,3761.2,11283.3
279.617,7616.3,3808.29,11424.6
279.633,7711.04,3855.67,11566.7
279.65,7806.36,3903.34,11709.7
279.667,7902.28,3951.3,11853.6
279.683,7998.79,3999.55,11998.3
279.7,8095.88,4048.09,12144
279.717,8193.56,4096.92,12290.5
279.733,8291.8,4146.08,12437.9
279.75,8390.65,4195.49,12586.1
279.767,8489.91,4245.38,12735.3
279.783,8590.09,4295.23,12885.3
279.8,8690.71,4345.52,13036.2
279.817,8791.89,4396.13,13188
279.833,8893.66,4447.02,13340.7
279.85,8996.02,4498.19,13494.2
279.867,9098.97,4549.67,13648.6
279.883,9202.5,4601.44,13803.9
279.9,9306.62,4653.49,13960.1
279.917,9411.31,4705.85,14117.2
279.933,9516.59,4758.51,14275.1
279.95,9622.47,4811.44,14433.9
279.967,9728.93,4864.67,14593.6
279.983,9835.96,4918.19,14754.2
280,9943.6,4972.01,14915.6
280.017,10051.6,5026.29,15077.9
280.033,10160.6,5080.54,15241.1
280.05,10270,5135.21,15405.2
280.067,10380,5190.19,15570.2
280.083,10490.6,5245.47,15736
280.1,10601.7,5301.04,15902.7
280.117,10713.4,5356.92,16070.3
280.133,10825.5,5413.3,16238.8
280.15,10938.6,5469.53,16408.1
280.167,11052.1,5526.27,16578.4
280.183,11166.2,5583.3,16749.5
280.2,11280.8,5640.64,16921.5
280.217,11396.1,5698.25,17094.3
280.233,11511.9,5756.19,17268.1
280.25,11628.1,5814.56,17442.7
280.267,11745.3,5872.92,17618.2
280.283,11862.9,5931.68,17794.6
280.3,11981.1,5990.75,17971.8
280.317,12099.8,6050.17,18150
280.333,12219.2,6109.83,18329
280.35,12339.1,6169.79,18508.9
280.367,12459.6,6230.06,18689.7
280.383,12580.7,6290.59,18871.3
280.4,12702.4,6351.47,19053.9
280.417,12824.7,6412.61,19237.3
280.433,12947.3,6474.24,19421.6
