Time,Acceleration (x)
81.8167,-1.40281
81.8333,-1.43247
81.85,-1.46013
81.8667,-1.48577
81.8833,-1.50935
81.9,-1.53083
81.9167,-1.55018
81.9333,-1.56738
81.95,-1.58241
81.9667,-1.59524
81.9833,-1.60585
82,-1.61424
82.0167,-1.62038
82.0333,-1.62427
82.05,-1.18974
82.0667,-1.00647
82.0833,-1.00506
82.1,-1.00226
82.1167,-0.998068
82.1333,-0.992491
82.15,-0.985533
82.1667,-0.977208
82.1833,-0.967527
82.2,-0.956502
82.2167,-0.944148
82.2333,-0.930485
82.25,-0.915529
82.2667,-0.899303
82.2833,-0.881829
82.3,-0.863129
82.3167,-0.843233
82.3333,-0.822167
82.35,-0.799954
82.3667,-0.776637
82.3833,-0.752238
82.4,-0.726796
82.4167,-0.700344
82.4333,-0.672921
82.45,-0.644565
82.4667,-0.615315
82.4833,-0.585208
82.5,-0.554289
82.5167,-0.522603
82.5333,-0.490188
82.55,-0.457097
82.5667,-0.423369
82.5833,-0.389053
82.6,-0.354198
82.6167,-0.31885
82.6333,-0.283064
82.65,-0.246883
82.6667,-0.21036
82.6833,-0.173544
82.7,-0.136487
82.7167,-0.0992435
82.7333,-0.0618607
82.75,-0.0243938
82.7667,0.0131124
82.7833,0.0505918
82.8,0.0880051
82.8167,0.125297
82.8333,0.162411
82.85,0.199301
82.8667,0.235916
82.8833,0.2722
82.9,0.308109
82.9167,0.343586
82.9333,0.378588
82.95,0.413066
82.9667,0.446965
82.9833,0.480244
83,0.512862
83.0167,0.54476
83.0333,0.575906
83.05,0.606252
83.0667,0.635753
83.0833,0.664372
83.1,0.692067
83.1167,0.718807
83.1333,0.744545
83.15,0.769247
83.1667,0.792884
83.1833,0.81542
83.2,0.836822
83.2167,0.857063
83.2333,0.876113
83.25,0.893946
83.2667,0.910538
83.2833,0.925866
83.3,0.939909
83.3167,0.952647
83.3333,0.964061
83.35,0.974137
83.3667,0.98286
83.3833,0.990219
83.4,0.996203
83.4167,1.0008
83.4333,1.00402
83.45,1.00583
83.4667,0.386814
83.4833,0.386702
83.5,0.386055
83.5167,0.384871
83.5333,0.383152
83.55,0.380902
83.5667,0.378123
83.5833,0.374819
83.6,0.370994
83.6167,0.366655
83.6333,0.361805
83.65,0.356455
83.6667,0.350609
83.6833,0.344277
83.7,0.337466
83.7167,0.330187
83.7333,0.32245
83.75,0.314265
83.7667,0.305645
83.7833,0.2966
83.8,0.287143
83.8167,0.277286
83.8333,0.267047
83.85,0.256435
83.8667,0.245467
83.8833,0.234158
83.9,0.222527
83.9167,0.210584
83.9333,0.198351
83.95,0.18584
83.9667,0.173072
83.9833,0.160065
84,0.146835
84.0167,0.133402
84.0333,0.119785
84.05,0.106
